Cenarios,Av,op1,op2,chance_s_1,chance_d_1,chance_s_2,chance_d_2,sucesso_1,derrota_1,sucesso_2,derrota_2
prime,"Você se aventura em busca de um tesouro escondido nas vastas planícies de Prime, enfrentando desafios naturais e decifrando pistas antigas.",Se aventurar.,Não se aventurar.,98%,2%,94%,6%,"Com coragem e astúcia, você supera os desafios naturais e decifra as pistas antigas. Encontra o tesouro, recompensando sua determinação com riqueza e glória.","Enfrentando os desafios das planícies, você é superado por um perigo repentino. Pode ser uma tempestade feroz ou um encontro com criaturas selvagens. Ferido e desanimado, você é forçado a abandonar sua busca e retornar para casa.","Embora o tesouro material não seja encontrado, sua jornada o leva a uma compreensão mais profunda do mundo e de si mesmo. Retorna para casa com um tesouro de sabedoria e crescimento espiritual.","As pistas antigas se mostram confusas e enganosas, levando-o a se perder nas vastas planícies. Sem encontrar o caminho de volta ou o tesouro, você retorna para casa com o coração pesado e a sensação de fracasso."
prime,"Mediação de um conflito entre facções rivais pela água em Prime, misturando diplomacia e confronto físico.",Participar do conflito.,Não participar.,99%,1%,97%,3%,"Com habilidade diplomática, você consegue persuadir as facções rivais a resolverem suas diferenças pacificamente. Um acordo é alcançado, trazendo paz e estabilidade para Prime. Sua reputação como mediador hábil cresce, promovendo o entendimento e a cooperação entre os grupos.","Apesar dos esforços diplomáticos, a situação se agrava e explode em um conflito aberto, forçando os aventureiros a fugir para evitar serem envolvidos na violência.","Apesar das tentativas de negociação, a situação exige ação decisiva. Com coragem e determinação, você lidera suas forças para impor a paz. As facções rivais são subjugadas, e a região é pacificada. Embora o conflito físico seja necessário, a estabilidade é alcançada.","Apesar dos esforços, suas forças são sobrepujadas pelas facções rivais, levando a um conflito ainda mais violento e destrutivo. Você é derrotado, e a região mergulha em um estado de guerra prolongada e instabilidade."
prime,Ajuda ao xerife de uma cidade do Velho Oeste em Prime para deter uma gangue de fora-da-lei.,Ajudar o Xerife.,Não ajudar o Xerife.,97%,3%,89%,11%,"Com coragem e habilidade, você e o xerife conseguem capturar a gangue de fora-da-lei, restaurando a paz na cidade e sendo aclamados como heróis locais.","Apesar dos esforços, a gangue de fora-da-lei é poderosa demais, e vocês são derrotados no confronto. A cidade fica à mercê dos criminosos, e o xerife lamenta pela incapacidade de proteger seus habitantes.","Em vez de confronto direto, você convence a gangue a se render pacificamente, garantindo um resultado positivo sem derramamento de sangue. O xerife agradece pela sua intervenção pacífica.","Seus esforços de negociação com a gangue de fora-da-lei fracassam, e a situação se agrava. A violência aumenta, e o xerife culpa você por não ter conseguido evitar o conflito."
prime,Escalada da montanha mais antiga de Prime em busca de tesouros e conhecimento perdidos.,Escalar a Montanha.,Não escalar a Montanha.,88%,12%,91%,9%,"Com determinação e habilidade, você alcança o topo da montanha e descobre tesouros antigos e conhecimentos perdidos, enriquecendo-se tanto material quanto intelectualmente.","Enfrentando os perigos da montanha, você é superado por um desafio mortal. Pode ser uma avalanche, uma queda ou um encontro com criaturas selvagens. Você é forçado a recuar, ferido e desiludido.","Embora não encontre tesouros materiais, a jornada pela montanha traz insights e sabedoria. Você retorna com uma compreensão mais profunda do mundo e de si mesmo.","As dificuldades da escalada provam ser demais para você. Desanimado pela exaustão e frustração, você desiste no meio do caminho e retorna para baixo da montanha, sem ter alcançado seu objetivo."
prime,"Exploração das profundezas de um cânion misterioso em Prime, enfrentando armadilhas e guardiões.",Explorar o cânion.,Não explorar o cânion.,90%,10%,93%,7%,"Com coragem e habilidade, você supera as armadilhas e enfrenta os guardiões do cânion. Descobre tesouros antigos e segredos perdidos, enriquecendo-se materialmente e intelectualmente.","Enfrentando as armadilhas do cânion, você é capturado por uma delas. Fica preso e incapaz de prosseguir ou de retornar, tornando-se uma vítima das profundezas perigosas do cânion.","Embora não encontre tesouros, você consegue explorar o cânion com segurança, aprendendo valiosas lições e adquirindo experiência que enriquece sua jornada.","Tentando enfrentar os guardiões do cânion, você é superado pela força e habilidade deles. Derrotado, é forçado a recuar, deixando para trás qualquer esperança de descobrir os segredos do cânion."
prime,Participação em uma perigosa corrida de naves espaciais sobre as planícies de Prime.,Participar da corrida.,Não Participar da corrida.,92%,8%,95%,5%,"Com habilidade e coragem, você pilota sua nave através dos obstáculos e rivais, emergindo como o vencedor da corrida. Sua destreza é reconhecida e celebrada por todos, trazendo fama e glória.","Enfrentando os perigos da corrida, sua nave sofre um acidente fatal. Você é incapaz de completar a corrida e sofre danos sérios ou até mesmo a perda da vida.","Embora não vença a corrida, aproveita a oportunidade para explorar as paisagens únicas de Prime durante a competição. Descobre segredos ocultos e novas perspectivas, enriquecendo sua jornada de forma diferente.","Diante dos desafios da corrida, você é superado pelo medo ou pela falta de habilidade. Desiste antes mesmo de tentar, perdendo a oportunidade de participar e experimentar a emoção da competição."
prime,Missão de resgate em terras áridas de Prime para salvar uma caravana perdida.,Fazer a missão.,Não fazer a missão.,87%,13%,86%,14%,"Com coragem e determinação, você encontra e salva a caravana perdida, trazendo todos os membros em segurança de volta. Sua ação heróica é reconhecida e celebrada, trazendo gratidão e respeito.","Apesar dos esforços, você não consegue encontrar ou resgatar a caravana perdida. As condições adversas das terras áridas tornam a missão impossível, deixando você desanimado e frustrado.","Embora não encontre a caravana perdida, você explora as terras áridas com sucesso, descobrindo novos caminhos e recursos valiosos que enriquecem sua jornada.","Enfrentando os perigos das terras áridas, você se perde e é incapaz de retornar com segurança. Fica vagando perdido, sem esperança de encontrar a caravana ou um caminho de volta."
prime,Exploração de uma ruína antiga no deserto de Prime em busca de artefatos e segredos.,Explorar a ruína.,Não explorar a ruína.,91%,9%,94%,6%,"Com coragem e habilidade, você supera os obstáculos da ruína e descobre artefatos antigos e segredos perdidos, enriquecendo-se materialmente e intelectualmente.","Enfrentando os perigos da ruína, você é capturado por uma armadilha. Fica preso e incapaz de prosseguir ou de retornar, tornando-se uma vítima dos segredos perigosos da ruína.","Embora não encontre artefatos valiosos, você explora a ruína com segurança, aprendendo sobre sua história e arquitetura, e enriquecendo sua jornada com novas descobertas.","Tentando enfrentar os guardiões da ruína, você é superado pela força e habilidade deles. Derrotado, é forçado a recuar, deixando para trás qualquer esperança de descobrir os segredos da ruína."
prime,Perseguição a um fora-da-lei através do deserto e das montanhas de Prime.,Perseguir.,Não perseguir.,95%,5%,89%,11%,"Com determinação e habilidade, você persegue e captura o fora-da-lei, trazendo-o à justiça. Sua ação é reconhecida e celebrada, restaurando a ordem e a segurança na região.","Apesar dos esforços, o fora-da-lei consegue escapar, deixando você derrotado e frustrado por não ter alcançado seu objetivo de captura.","Embora não capture o fora-da-lei, você sobrevive à perseguição, aprendendo valiosas lições e adquirindo experiência que enriquece sua jornada.","Enfrentando os perigos do deserto e das montanhas, você se perde e é incapaz de retornar com segurança. Fica vagando perdido, sem esperança de alcançar o fora-da-lei ou de encontrar o caminho de volta."
prime,Participação como jurado em um julgamento importante na cidade principal de Prime.,Participar do julgamento.,Não participar do julgamento.,96%,4%,85%,5%,"Com imparcialidade e discernimento, você contribui para um veredicto justo e correto, assegurando a justiça para todas as partes envolvidas. Sua participação é reconhecida como essencial para o processo judicial.","Apesar dos esforços, o julgamento resulta em um veredicto injusto devido a influências externas ou falhas no processo legal. Você se sente impotente diante da injustiça perpetuada pelo sistema judicial.","Embora não participe diretamente na tomada de decisão, sua presença como observador oferece uma perspectiva valiosa sobre o julgamento, enriquecendo sua compreensão do sistema legal e dos assuntos em questão.","Ao optar por não participar do julgamento, você deixa de cumprir sua responsabilidade como cidadão e jurado, perdendo a oportunidade de contribuir para a administração da justiça e para o funcionamento adequado do sistema legal."
